"infile" "demog" "xtx.ep" "bf.ep" "rho.ep" "lfmm.ep" "Hcd.ep" "pcs.ep" "Md.default.ep" "Hd.default.ep" "Kd.default.ep" "Nd.default.ep" "Md.mcd.ep" "Hd.mcd.ep" "Kd.mcd.ep" "Nd.mcd.ep" "Md.mcd.subset.ep" "Hd.mcd.subset.ep" "Kd.mcd.subset.ep" "Nd.mcd.subset.ep"
"1" "data/KatieSims/1R_R30_1351142954_453_1_NumPops=30_NumInd=20Bayenv2LFMMpca.Cpval" "1R" 0.610526315789474 0.810526315789474 0.0315789473684211 0.757894736842105 0.873684210526316 0.810526315789474 0.673684210526316 0.684210526315789 0.336842105263158 0.336842105263158 0.810526315789474 0.810526315789474 0.347368421052632 0.421052631578947 0.810526315789474 0.810526315789474 0.810526315789474 0.810526315789474
"2" "data/KatieSims/1R_R30_1351142954_453_1_NumPops=30_NumInd=60Bayenv2LFMMpca.Cpval" "1R" 0.752577319587629 0.762886597938144 0.0309278350515464 0.77319587628866 0.670103092783505 0.762886597938144 0.649484536082474 0.65979381443299 0.443298969072165 0.443298969072165 0.762886597938144 0.762886597938144 0.639175257731959 0.350515463917526 0.762886597938144 0.762886597938144 0.762886597938144 0.762886597938144
"3" "data/KatieSims/1R_R30_1351142970_988_5_NumPops=30_NumInd=20Bayenv2LFMMpca.Cpval" "1R" 0.478723404255319 0.329787234042553 0.117021276595745 0.51063829787234 0.734042553191489 0.393617021276596 0.351063829787234 0.351063829787234 0.202127659574468 0.202127659574468 0.393617021276596 0.393617021276596 0.202127659574468 0.191489361702128 0.393617021276596 0.393617021276596 0.393617021276596 0.393617021276596
"4" "data/KatieSims/1R_R30_1351142970_988_5_NumPops=30_NumInd=60Bayenv2LFMMpca.Cpval" "1R" 0.639175257731959 0.587628865979381 0.22680412371134 0.690721649484536 0.639175257731959 0.587628865979381 0.556701030927835 0.556701030927835 0.34020618556701 0.34020618556701 0.587628865979381 0.597938144329897 0.391752577319588 0.34020618556701 0.587628865979381 0.597938144329897 0.587628865979381 0.587628865979381
"5" "data/KatieSims/1R_R30_1351142986_950_9_NumPops=30_NumInd=20Bayenv2LFMMpca.Cpval" "1R" 0.533333333333333 0.577777777777778 0.344444444444444 0.366666666666667 0.277777777777778 0.588888888888889 0.511111111111111 0.511111111111111 0.266666666666667 0.266666666666667 0.577777777777778 0.577777777777778 0.311111111111111 0.422222222222222 0.577777777777778 0.577777777777778 0.588888888888889 0.588888888888889
"6" "data/KatieSims/1R_R30_1351142986_950_9_NumPops=30_NumInd=60Bayenv2LFMMpca.Cpval" "1R" 0.642105263157895 0.568421052631579 0.452631578947368 0.663157894736842 0.557894736842105 0.568421052631579 0.652631578947368 0.673684210526316 0.410526315789474 0.410526315789474 0.578947368421053 0.578947368421053 0.515789473684211 0.484210526315789 0.578947368421053 0.578947368421053 0.568421052631579 0.578947368421053
"7" "data/KatieSims/1R_R60_1351142954_453_1_NumPops=60_NumInd=20Bayenv2LFMMpca.Cpval" "1R" 0.612903225806452 0.774193548387097 0.032258064516129 0.817204301075269 0.516129032258065 0.806451612903226 0.752688172043011 0.752688172043011 0.645161290322581 0.645161290322581 0.806451612903226 0.806451612903226 0.666666666666667 0.559139784946237 0.806451612903226 0.806451612903226 0.806451612903226 0.806451612903226
"8" "data/KatieSims/1R_R60_1351142954_453_1_NumPops=60_NumInd=30Bayenv2LFMMpca.Cpval" "1R" 0.709677419354839 0.849462365591398 0.043010752688172 0.78494623655914 0.387096774193548 0.849462365591398 0.720430107526882 0.720430107526882 0.623655913978495 0.612903225806452 0.849462365591398 0.849462365591398 0.752688172043011 0.602150537634409 0.849462365591398 0.849462365591398 0.849462365591398 0.849462365591398
"9" "data/KatieSims/1R_R60_1351142970_988_5_NumPops=60_NumInd=20Bayenv2LFMMpca.Cpval" "1R" 0.6 0.694736842105263 0.252631578947368 0.642105263157895 0.526315789473684 0.715789473684211 0.673684210526316 0.684210526315789 0.484210526315789 0.484210526315789 0.726315789473684 0.726315789473684 0.526315789473684 0.621052631578947 0.726315789473684 0.726315789473684 0.715789473684211 0.715789473684211
"10" "data/KatieSims/1R_R60_1351142970_988_5_NumPops=60_NumInd=30Bayenv2LFMMpca.Cpval" "1R" 0.670103092783505 0.721649484536082 0.422680412371134 0.742268041237113 0.463917525773196 0.721649484536082 0.556701030927835 0.556701030927835 0.195876288659794 0.195876288659794 0.731958762886598 0.731958762886598 0.195876288659794 0.43298969072165 0.731958762886598 0.731958762886598 0.731958762886598 0.731958762886598
"11" "data/KatieSims/1R_R60_1351142986_950_9_NumPops=60_NumInd=20Bayenv2LFMMpca.Cpval" "1R" 0.628865979381443 0.649484536082474 0.649484536082474 0.597938144329897 0.618556701030928 0.670103092783505 0.391752577319588 0.391752577319588 0.0927835051546392 0.0927835051546392 0.680412371134021 0.680412371134021 0.0927835051546392 0.247422680412371 0.680412371134021 0.680412371134021 0.670103092783505 0.670103092783505
"12" "data/KatieSims/1R_R60_1351142986_950_9_NumPops=60_NumInd=30Bayenv2LFMMpca.Cpval" "1R" 0.680412371134021 0.608247422680412 0.680412371134021 0.721649484536082 0.649484536082474 0.618556701030928 0.577319587628866 0.577319587628866 0.216494845360825 0.206185567010309 0.628865979381443 0.628865979381443 0.22680412371134 0.134020618556701 0.628865979381443 0.628865979381443 0.618556701030928 0.628865979381443
