"cutoff.CI.95" "cutoff.CI.90" "cutoff.robust75" "power.CI.95" "power.CI.90" "power.robust75" "stat" "upper" "nsnps" "breed"
1.6109 1.25681 1.54744 0.333333333333333 0.333333333333333 0.333333333333333 "unstd_iHS" TRUE 1 "border_collie"
0.496 0.4296 0.5672 0.666666666666667 0.666666666666667 0.333333333333333 "win51_H12" TRUE 1 "border_collie"
3.26226067190946 2.82397357255908 3.71767570019378 0.666666666666667 0.666666666666667 0.666666666666667 "Md.default.raw" TRUE 1 "border_collie"
3.41911650477898 3.01801721263594 3.77071080115157 0.666666666666667 0.666666666666667 0.666666666666667 "Hd.default.raw" TRUE 1 "border_collie"
0.296771409858383 0.247174542019896 0.805006628627899 1 1 0 "Nd.default.raw" TRUE 1 "border_collie"
3.79946160381682 3.1625660558943 3.41417073863495 0.666666666666667 0.666666666666667 0.666666666666667 "Md.mcd75.raw" TRUE 1 "border_collie"
NA NA NA NA NA NA "Hd.mcd75.raw" TRUE 1 "border_collie"
5.16289353698757 4.3538891288682 5.89602099442761 0.666666666666667 0.666666666666667 0.333333333333333 "Nd.mcd75.raw" TRUE 1 "border_collie"
4.48668625391818 3.35787080522714 7.10948753497854 0.666666666666667 0.666666666666667 0.333333333333333 "DCMS.default" TRUE 1 "border_collie"
4.56388281207229 3.41726010999489 7.28225216890658 0.666666666666667 0.666666666666667 0.333333333333333 "DCMS.mcd75" TRUE 1 "border_collie"
1.27212059467847 0.973204202773105 2.99400200396054 0 0 0 "CSS" TRUE 1 "border_collie"
6.49814943595271 5.40931473360657 11.6254440851098 0.666666666666667 0.666666666666667 0.333333333333333 "Md.rankp.mcd75" TRUE 1 "border_collie"
1.1e-05 1.3e-05 5e-06 0.333333333333333 0.666666666666667 0 "win51_pi" FALSE 1 "border_collie"
0.290655 0.614333 -0.513647 0.666666666666667 0.666666666666667 0.333333333333333 "win51_TajD" FALSE 1 "border_collie"
1.6109 1.25681 1.54744 0.333333333333333 0.333333333333333 0.333333333333333 "unstd_iHS" TRUE 2 "border_collie"
0.496 0.4296 0.5672 0.333333333333333 0.333333333333333 0.333333333333333 "win51_H12" TRUE 2 "border_collie"
3.26226067190946 2.82397357255908 3.71767570019378 0.666666666666667 0.666666666666667 0.666666666666667 "Md.default.raw" TRUE 2 "border_collie"
3.41911650477898 3.01801721263594 3.77071080115157 0.666666666666667 0.666666666666667 0.666666666666667 "Hd.default.raw" TRUE 2 "border_collie"
0.296771409858383 0.247174542019896 0.805006628627899 1 1 0 "Nd.default.raw" TRUE 2 "border_collie"
3.79946160381682 3.1625660558943 3.41417073863495 0.666666666666667 0.666666666666667 0.666666666666667 "Md.mcd75.raw" TRUE 2 "border_collie"
NA NA NA NA NA NA "Hd.mcd75.raw" TRUE 2 "border_collie"
5.16289353698757 4.3538891288682 5.89602099442761 0.666666666666667 0.666666666666667 0.333333333333333 "Nd.mcd75.raw" TRUE 2 "border_collie"
4.48668625391818 3.35787080522714 7.10948753497854 0.666666666666667 0.666666666666667 0.333333333333333 "DCMS.default" TRUE 2 "border_collie"
4.56388281207229 3.41726010999489 7.28225216890658 0.666666666666667 0.666666666666667 0.333333333333333 "DCMS.mcd75" TRUE 2 "border_collie"
1.27212059467847 0.973204202773105 2.99400200396054 0 0 0 "CSS" TRUE 2 "border_collie"
6.49814943595271 5.40931473360657 11.6254440851098 0.666666666666667 0.666666666666667 0.333333333333333 "Md.rankp.mcd75" TRUE 2 "border_collie"
1.1e-05 1.3e-05 5e-06 0.333333333333333 0.666666666666667 0 "win51_pi" FALSE 2 "border_collie"
0.290655 0.614333 -0.513647 0.666666666666667 0.666666666666667 0.333333333333333 "win51_TajD" FALSE 2 "border_collie"
1.6109 1.25681 1.54744 0.333333333333333 0.333333333333333 0.333333333333333 "unstd_iHS" TRUE 3 "border_collie"
0.496 0.4296 0.5672 0.333333333333333 0.333333333333333 0.333333333333333 "win51_H12" TRUE 3 "border_collie"
3.26226067190946 2.82397357255908 3.71767570019378 0.666666666666667 0.666666666666667 0.666666666666667 "Md.default.raw" TRUE 3 "border_collie"
3.41911650477898 3.01801721263594 3.77071080115157 0.666666666666667 0.666666666666667 0.666666666666667 "Hd.default.raw" TRUE 3 "border_collie"
0.296771409858383 0.247174542019896 0.805006628627899 0.666666666666667 1 0 "Nd.default.raw" TRUE 3 "border_collie"
3.79946160381682 3.1625660558943 3.41417073863495 0.666666666666667 0.666666666666667 0.666666666666667 "Md.mcd75.raw" TRUE 3 "border_collie"
NA NA NA NA NA NA "Hd.mcd75.raw" TRUE 3 "border_collie"
5.16289353698757 4.3538891288682 5.89602099442761 0.666666666666667 0.666666666666667 0.333333333333333 "Nd.mcd75.raw" TRUE 3 "border_collie"
4.48668625391818 3.35787080522714 7.10948753497854 0.666666666666667 0.666666666666667 0.333333333333333 "DCMS.default" TRUE 3 "border_collie"
4.56388281207229 3.41726010999489 7.28225216890658 0.666666666666667 0.666666666666667 0.333333333333333 "DCMS.mcd75" TRUE 3 "border_collie"
1.27212059467847 0.973204202773105 2.99400200396054 0 0 0 "CSS" TRUE 3 "border_collie"
6.49814943595271 5.40931473360657 11.6254440851098 0.333333333333333 0.666666666666667 0.333333333333333 "Md.rankp.mcd75" TRUE 3 "border_collie"
1.1e-05 1.3e-05 5e-06 0.333333333333333 0.666666666666667 0 "win51_pi" FALSE 3 "border_collie"
0.290655 0.614333 -0.513647 0.666666666666667 0.666666666666667 0.333333333333333 "win51_TajD" FALSE 3 "border_collie"
