"","filename","Comparison1","Comparison2","ScatterDiff","LocationDiff","alpha","method"
"34","1R_R30_1351142970_988_5_NumPops=30_NumInd=60Bayenv2LFMMpca.Cpval","Neutral","MCD 0.75",0.540402347618291,0.0859899256885726,0.75,"MCD"
"35","1R_R30_1351142970_988_5_NumPops=30_NumInd=60Bayenv2LFMMpca.Cpval","Neutral","MCD 0.90",0.025640260170193,0.0526505888870737,0.9,"MCD"
"36","1R_R30_1351142970_988_5_NumPops=30_NumInd=60Bayenv2LFMMpca.Cpval","Neutral","PCS 0.51",15.1440684804905,0.508672581124643,0.51,"PCS"
"37","1R_R30_1351142970_988_5_NumPops=30_NumInd=60Bayenv2LFMMpca.Cpval","Neutral","PCS 0.75",6.0762727341675,0.17813853698664,0.75,"PCS"
"38","1R_R30_1351142970_988_5_NumPops=30_NumInd=60Bayenv2LFMMpca.Cpval","Neutral","PCS 0.90",1.4151412912359,0.0316041096012373,0.9,"PCS"
"39","1R_R30_1351142970_988_5_NumPops=30_NumInd=60Bayenv2LFMMpca.Cpval","All","Neutral",437.632636813075,0.103002110328862,NA,NA
"40","1R_R30_1351142970_988_5_NumPops=30_NumInd=60Bayenv2LFMMpca.Cpval","All","MCD 0.75",407.97088351228,0.376469780983087,0.75,"MCD"
"41","1R_R30_1351142970_988_5_NumPops=30_NumInd=60Bayenv2LFMMpca.Cpval","All","MCD 0.90",431.523641439351,0.30249196165864,0.9,"MCD"
"42","1R_R30_1351142986_950_9_NumPops=30_NumInd=20Bayenv2LFMMpca.Cpval","Neutral","All",8.63439778861517,0.0166961426132211,NA,NA
"43","1R_R30_1351142986_950_9_NumPops=30_NumInd=20Bayenv2LFMMpca.Cpval","Neutral","MCD 0.51",0.0321537816468272,0.101129421700538,0.51,"MCD"
"44","1R_R30_1351142986_950_9_NumPops=30_NumInd=20Bayenv2LFMMpca.Cpval","Neutral","MCD 0.75",0.0154380145961377,0.0609690930488429,0.75,"MCD"
"45","1R_R30_1351142986_950_9_NumPops=30_NumInd=20Bayenv2LFMMpca.Cpval","Neutral","MCD 0.90",0.0572334948962813,0.0376073146700098,0.9,"MCD"
"46","1R_R30_1351142986_950_9_NumPops=30_NumInd=20Bayenv2LFMMpca.Cpval","Neutral","PCS 0.51",3.15701582772757,0.388614348416438,0.51,"PCS"
"47","1R_R30_1351142986_950_9_NumPops=30_NumInd=20Bayenv2LFMMpca.Cpval","Neutral","PCS 0.75",1.35354991714664,0.124055268280972,0.75,"PCS"
"48","1R_R30_1351142986_950_9_NumPops=30_NumInd=20Bayenv2LFMMpca.Cpval","Neutral","PCS 0.90",0.522195227455892,0.031638041075871,0.9,"PCS"
"49","1R_R30_1351142986_950_9_NumPops=30_NumInd=20Bayenv2LFMMpca.Cpval","All","Neutral",8.63439778861517,0.0166961426132211,NA,NA
"50","1R_R30_1351142986_950_9_NumPops=30_NumInd=20Bayenv2LFMMpca.Cpval","All","MCD 0.75",9.10638434170568,0.138886013457872,0.75,"MCD"
"51","1R_R30_1351142986_950_9_NumPops=30_NumInd=20Bayenv2LFMMpca.Cpval","All","MCD 0.90",10.0711947411677,0.103114885286488,0.9,"MCD"
"52","1R_R30_1351142986_950_9_NumPops=30_NumInd=60Bayenv2LFMMpca.Cpval","Neutral","All",497.365278792878,0.0985630034322117,NA,NA
"53","1R_R30_1351142986_950_9_NumPops=30_NumInd=60Bayenv2LFMMpca.Cpval","Neutral","MCD 0.51",3.32381442101872,0.201068243845694,0.51,"MCD"
"54","1R_R30_1351142986_950_9_NumPops=30_NumInd=60Bayenv2LFMMpca.Cpval","Neutral","MCD 0.75",0.715650630399522,0.127955434621397,0.75,"MCD"
"55","1R_R30_1351142986_950_9_NumPops=30_NumInd=60Bayenv2LFMMpca.Cpval","Neutral","MCD 0.90",0.0135681958721877,0.0875360513518781,0.9,"MCD"
"56","1R_R30_1351142986_950_9_NumPops=30_NumInd=60Bayenv2LFMMpca.Cpval","Neutral","PCS 0.51",16.9678425463995,0.631489439382609,0.51,"PCS"
"57","1R_R30_1351142986_950_9_NumPops=30_NumInd=60Bayenv2LFMMpca.Cpval","Neutral","PCS 0.75",6.07061252920467,0.229843880974521,0.75,"PCS"
"58","1R_R30_1351142986_950_9_NumPops=30_NumInd=60Bayenv2LFMMpca.Cpval","Neutral","PCS 0.90",1.78627150785961,0.0529216032350921,0.9,"PCS"
"59","1R_R30_1351142986_950_9_NumPops=30_NumInd=60Bayenv2LFMMpca.Cpval","All","Neutral",497.365278792878,0.0985630034322117,NA,NA
"60","1R_R30_1351142986_950_9_NumPops=30_NumInd=60Bayenv2LFMMpca.Cpval","All","MCD 0.75",461.94522238857,0.449540377591047,0.75,"MCD"
"61","1R_R30_1351142986_950_9_NumPops=30_NumInd=60Bayenv2LFMMpca.Cpval","All","MCD 0.90",497.984975223186,0.371141142383394,0.9,"MCD"
"62","1R_R60_1351142954_453_1_NumPops=60_NumInd=20Bayenv2LFMMpca.Cpval","Neutral","All",346.940178368018,0.0967182975460844,NA,NA
"63","1R_R60_1351142954_453_1_NumPops=60_NumInd=20Bayenv2LFMMpca.Cpval","Neutral","MCD 0.51",0.424548895956617,0.11646087180681,0.51,"MCD"
"64","1R_R60_1351142954_453_1_NumPops=60_NumInd=20Bayenv2LFMMpca.Cpval","Neutral","MCD 0.75",0.021902919323906,0.0773854734619456,0.75,"MCD"
"65","1R_R60_1351142954_453_1_NumPops=60_NumInd=20Bayenv2LFMMpca.Cpval","Neutral","MCD 0.90",0.0906752153956997,0.0570474346352861,0.9,"MCD"
"66","1R_R60_1351142954_453_1_NumPops=60_NumInd=20Bayenv2LFMMpca.Cpval","Neutral","PCS 0.51",11.5476989528706,0.501458760109191,0.51,"PCS"
"67","1R_R60_1351142954_453_1_NumPops=60_NumInd=20Bayenv2LFMMpca.Cpval","Neutral","PCS 0.75",5.28634907751316,0.18743005906411,0.75,"PCS"
"68","1R_R60_1351142954_453_1_NumPops=60_NumInd=20Bayenv2LFMMpca.Cpval","Neutral","PCS 0.90",1.86067554265752,0.0496221458877068,0.9,"PCS"
"69","1R_R60_1351142954_453_1_NumPops=60_NumInd=20Bayenv2LFMMpca.Cpval","All","Neutral",346.940178368018,0.0967182975460844,NA,NA
"70","1R_R60_1351142954_453_1_NumPops=60_NumInd=20Bayenv2LFMMpca.Cpval","All","MCD 0.75",344.374920552573,0.344412885480967,0.75,"MCD"
"71","1R_R60_1351142954_453_1_NumPops=60_NumInd=20Bayenv2LFMMpca.Cpval","All","MCD 0.90",357.934894108765,0.30117292083115,0.9,"MCD"
"72","1R_R60_1351142954_453_1_NumPops=60_NumInd=30Bayenv2LFMMpca.Cpval","Neutral","All",747.45925671957,0.142502879935463,NA,NA
"73","1R_R60_1351142954_453_1_NumPops=60_NumInd=30Bayenv2LFMMpca.Cpval","Neutral","MCD 0.51",3.18903378248121,0.101223479222452,0.51,"MCD"
"74","1R_R60_1351142954_453_1_NumPops=60_NumInd=30Bayenv2LFMMpca.Cpval","Neutral","MCD 0.75",0.658598714467968,0.0768610667953967,0.75,"MCD"
"75","1R_R60_1351142954_453_1_NumPops=60_NumInd=30Bayenv2LFMMpca.Cpval","Neutral","MCD 0.90",0.0738838308358536,0.0479700708898202,0.9,"MCD"
"76","1R_R60_1351142954_453_1_NumPops=60_NumInd=30Bayenv2LFMMpca.Cpval","Neutral","PCS 0.51",19.7494813267218,0.447322865479075,0.51,"PCS"
"77","1R_R60_1351142954_453_1_NumPops=60_NumInd=30Bayenv2LFMMpca.Cpval","Neutral","PCS 0.75",7.94777896558767,0.195260513847057,0.75,"PCS"
"78","1R_R60_1351142954_453_1_NumPops=60_NumInd=30Bayenv2LFMMpca.Cpval","Neutral","PCS 0.90",1.72957476911399,0.0379067497184745,0.9,"PCS"
