"cutoff.CI" "cutoff.robust75" "cutoff.robust99" "power.CI" "power.robust75" "power.robust99" "stat" "upper" "breed"
1.6109 1.54744 2.08005 0.333333333333333 0.333333333333333 0 "unstd_iHS" TRUE "border_collie"
0.496 0.5672 0.628 0.333333333333333 0.333333333333333 0.333333333333333 "win51_H12" TRUE "border_collie"
1 1 1 0 0 0 "pcs.default" TRUE "border_collie"
0.905991193945236 1.70474809223843 1.70474809223843 0 0 0 "Hcd.default" TRUE "border_collie"
3.26226067190946 3.71767570019378 3.36085190019696 0.666666666666667 0.333333333333333 0.666666666666667 "Md.default" TRUE "border_collie"
3.41911650477898 3.77071080115157 3.53792515073107 0.666666666666667 0.333333333333333 0.666666666666667 "Hd.default" TRUE "border_collie"
14.9817920971779 30.175805454612 30.175805454612 0.666666666666667 0 0 "Kd.default" TRUE "border_collie"
0.296771409858383 0.805006628627899 0.805006628627899 0.666666666666667 0 0 "Nd.default" TRUE "border_collie"
3.7979945029316 3.41443778077531 4.52909051511513 0.666666666666667 0.666666666666667 0.666666666666667 "Md.mcd.subset.75" TRUE "border_collie"
3.89531969089216 3.49942901864523 4.57963462552225 0.666666666666667 0.666666666666667 0.666666666666667 "Hd.mcd.subset.75" TRUE "border_collie"
18.8301473440172 17.8999248845542 22.6265457289589 0.666666666666667 0.666666666666667 0.666666666666667 "Kd.mcd.subset.75" TRUE "border_collie"
0.951570943524582 0.941479149898427 1.69704045320118 0.666666666666667 0.666666666666667 0.333333333333333 "Nd.mcd.subset.75" TRUE "border_collie"
3.54418990680373 3.61305028163059 3.7586266187406 0.666666666666667 0.666666666666667 0.666666666666667 "Md.mcd.subset.99" TRUE "border_collie"
3.72166668971554 3.62211182221789 4.01961441835815 0.666666666666667 0.666666666666667 0.666666666666667 "Hd.mcd.subset.99" TRUE "border_collie"
19.3960741534989 18.5014736151383 24.1163699136104 0.666666666666667 0.666666666666667 0.666666666666667 "Kd.mcd.subset.99" TRUE "border_collie"
0.890683916893701 0.907348924145112 1.46704563788634 0.666666666666667 0.666666666666667 0.666666666666667 "Nd.mcd.subset.99" TRUE "border_collie"
1.1e-05 5e-06 5e-06 0.333333333333333 0 0 "win51_pi" FALSE "border_collie"
0.290655 -0.513647 -0.730917 0.666666666666667 0.333333333333333 0.333333333333333 "win51_TajD" FALSE "border_collie"
2.32811 2.7028 3.08855 0 0 0 "unstd_iHS" TRUE "boxer"
0.8848 1 1 0.5 0 0 "win51_H12" TRUE "boxer"
1 1 1 0 0 0 "pcs.default" TRUE "boxer"
0.810930216216329 1.79175946922806 1.79175946922806 0 0 0 "Hcd.default" TRUE "boxer"
3.07955686294085 3.55146363861677 3.38137908118485 0 0 0 "Md.default" TRUE "boxer"
3.21224105032981 3.61281737087088 3.51197309171803 0 0 0 "Hd.default" TRUE "boxer"
14.381228154561 61.5037215632997 61.5037215632997 0 0 0 "Kd.default" TRUE "boxer"
0.252814097259475 0.732673869323171 0.732673869323171 0 0 0 "Nd.default" TRUE "boxer"
3.32612862550544 3.4410423703288 3.8172316678092 0 0 0 "Md.mcd.subset.75" TRUE "boxer"
3.44361590027725 3.52139995130998 3.9184748015364 0 0 0 "Hd.mcd.subset.75" TRUE "boxer"
16.2423667152916 18.472154849281 19.9220389679407 0 0 0 "Kd.mcd.subset.75" TRUE "boxer"
0.406472101004151 0.71797383659399 0.995244844707303 0 0 0 "Nd.mcd.subset.75" TRUE "boxer"
3.26127531159063 3.49399678425204 3.60471274145791 0 0 0 "Md.mcd.subset.99" TRUE "boxer"
3.40718641796965 3.56380838914765 3.78034220252163 0 0 0 "Hd.mcd.subset.99" TRUE "boxer"
16.2423667152916 18.472154849281 19.9220389679407 0 0 0 "Kd.mcd.subset.99" TRUE "boxer"
0.402583572747038 0.728034198169901 0.990333196596104 0 0 0 "Nd.mcd.subset.99" TRUE "boxer"
8e-06 1e-06 1e-06 0.5 0 0 "win51_pi" FALSE "boxer"
-0.825442 -2.481171 -2.355296 0 0 0 "win51_TajD" FALSE "boxer"
1.77033 1.83883 2.32908 0.2 0.2 0 "unstd_iHS" TRUE "bulldog_french"
0.5872 0.5664 0.7176 0.8 0.8 0.6 "win51_H12" TRUE "bulldog_french"
1 1 1 0 0 0 "pcs.default" TRUE "bulldog_french"
1.250351111149 1.70474809223843 1.70474809223843 0 0 0 "Hcd.default" TRUE "bulldog_french"
3.4232572271257 3.82443404966002 3.36347920980463 0.6 0.6 0.6 "Md.default" TRUE "bulldog_french"
3.57405878328071 3.87555028244925 3.52900024377949 0.6 0.6 0.6 "Hd.default" TRUE "bulldog_french"
16.4608974764604 41.9928926483218 64.3027810603066 0.6 0 0 "Kd.default" TRUE "bulldog_french"
0.279588347928098 0.57984284580556 0.747679580360455 0.6 0 0 "Nd.default" TRUE "bulldog_french"
4.33042890931546 3.45698254704071 4.50970889718403 0.6 0.8 0.6 "Md.mcd.subset.75" TRUE "bulldog_french"
4.41307766888353 3.53066780921893 4.60146592949867 0.6 0.8 0.6 "Hd.mcd.subset.75" TRUE "bulldog_french"
22.2973581028195 17.8313055641011 23.8090852403904 0.6 0.8 0.6 "Kd.mcd.subset.75" TRUE "bulldog_french"
1.46976180153761 0.719801651930182 1.76006042024397 0.6 0.8 0.6 "Nd.mcd.subset.75" TRUE "bulldog_french"
3.88919486719163 3.67556664591381 3.80376464624759 0.6 0.6 0.6 "Md.mcd.subset.99" TRUE "bulldog_french"
4.0794059864746 3.67821820376931 4.07447313925261 0.6 0.8 0.6 "Hd.mcd.subset.99" TRUE "bulldog_french"
