"","filename","Comparison1","Comparison2","ScatterDiff","LocationDiff"
"38","1R_R60_1351142954_453_1_NumPops=60_NumInd=20Bayenv2LFMMpca.Cpval","Neutral","All",346.940178368018,0.0967182975460844
"39","1R_R60_1351142954_453_1_NumPops=60_NumInd=20Bayenv2LFMMpca.Cpval","Neutral","MCD 0.75",0.0207087042388036,0.0779152672589382
"40","1R_R60_1351142954_453_1_NumPops=60_NumInd=20Bayenv2LFMMpca.Cpval","Neutral","MCD 0.99",0.184235107333202,0.0270912068944875
"41","1R_R60_1351142954_453_1_NumPops=60_NumInd=20Bayenv2LFMMpca.Cpval","All","Neutral",346.940178368018,0.0967182975460844
"42","1R_R60_1351142954_453_1_NumPops=60_NumInd=20Bayenv2LFMMpca.Cpval","All","MCD 0.75",344.658904975232,0.345545526807943
"43","1R_R60_1351142954_453_1_NumPops=60_NumInd=20Bayenv2LFMMpca.Cpval","All","MCD 0.99",363.085748555805,0.225754102069754
"44","1R_R60_1351142954_453_1_NumPops=60_NumInd=30Bayenv2LFMMpca.Cpval","Neutral","All",747.45925671957,0.142502879935463
"45","1R_R60_1351142954_453_1_NumPops=60_NumInd=30Bayenv2LFMMpca.Cpval","Neutral","MCD 0.75",0.701375191735323,0.0753923297250637
"46","1R_R60_1351142954_453_1_NumPops=60_NumInd=30Bayenv2LFMMpca.Cpval","Neutral","MCD 0.99",0.0851304282693878,0.0300801829460205
"47","1R_R60_1351142954_453_1_NumPops=60_NumInd=30Bayenv2LFMMpca.Cpval","All","Neutral",747.45925671957,0.142502879935463
"48","1R_R60_1351142954_453_1_NumPops=60_NumInd=30Bayenv2LFMMpca.Cpval","All","MCD 0.75",703.476366483711,0.423192253685392
"49","1R_R60_1351142954_453_1_NumPops=60_NumInd=30Bayenv2LFMMpca.Cpval","All","MCD 0.99",763.416199347894,0.303183309260423
"50","1R_R60_1351142970_988_5_NumPops=60_NumInd=20Bayenv2LFMMpca.Cpval","Neutral","All",270.351309545082,0.0824239511641539
"51","1R_R60_1351142970_988_5_NumPops=60_NumInd=20Bayenv2LFMMpca.Cpval","Neutral","MCD 0.75",0.0499676841412929,0.0526357229344057
