"cutoff.CI.95" "cutoff.CI.90" "cutoff.robust75" "cutoff.robust99" "power.CI.95" "power.CI.90" "power.robust75" "power.robust99" "stat" "upper" "nsnps" "breed"
1.6109 1.25681 1.54744 2.08005 0.333333333333333 0.333333333333333 0.333333333333333 0.333333333333333 "unstd_iHS" TRUE 1 "border_collie"
0.496 0.4296 0.5672 0.628 0.666666666666667 0.666666666666667 0.333333333333333 0.333333333333333 "win51_H12" TRUE 1 "border_collie"
1 1 1 1 0 0 0 0 "pcs.default" TRUE 1 "border_collie"
0.905991193945236 0.75377180237638 1.70474809223843 1.70474809223843 0.333333333333333 0.666666666666667 0 0 "Hcd.default" TRUE 1 "border_collie"
3.26226067190946 2.82397357255908 3.71767570019378 3.36085190019696 0.666666666666667 0.666666666666667 0.666666666666667 0.666666666666667 "Md.default" TRUE 1 "border_collie"
3.41911650477898 3.01801721263594 3.77071080115157 3.53792515073107 0.666666666666667 0.666666666666667 0.666666666666667 0.666666666666667 "Hd.default" TRUE 1 "border_collie"
14.9817920971779 13.5983405087592 30.175805454612 30.175805454612 1 1 0 0 "Kd.default" TRUE 1 "border_collie"
0.296771409858383 0.247174542019896 0.805006628627899 0.805006628627899 1 1 0 0 "Nd.default" TRUE 1 "border_collie"
3.7979945029316 3.16149215264891 3.41443778077531 4.52909051511513 0.666666666666667 0.666666666666667 0.666666666666667 0.666666666666667 "Md.mcd.subset.75" TRUE 1 "border_collie"
3.89531969089216 3.28566300332502 3.49942901864523 4.57963462552225 0.666666666666667 0.666666666666667 0.666666666666667 0.666666666666667 "Hd.mcd.subset.75" TRUE 1 "border_collie"
18.8301473440172 16.0133580180119 17.8999248845542 22.6265457289589 0.666666666666667 0.666666666666667 0.666666666666667 0.666666666666667 "Kd.mcd.subset.75" TRUE 1 "border_collie"
0.951570943524582 0.40236864640533 0.941479149898427 1.69704045320118 0.666666666666667 1 0.666666666666667 0.666666666666667 "Nd.mcd.subset.75" TRUE 1 "border_collie"
3.54418990680373 2.98945351273571 3.61305028163059 3.7586266187406 0.666666666666667 0.666666666666667 0.666666666666667 0.666666666666667 "Md.mcd.subset.99" TRUE 1 "border_collie"
3.72166668971554 3.17007333985485 3.62211182221789 4.01961441835815 0.666666666666667 0.666666666666667 0.666666666666667 0.666666666666667 "Hd.mcd.subset.99" TRUE 1 "border_collie"
19.3960741534989 16.119591632261 18.5014736151383 24.1163699136104 0.666666666666667 0.666666666666667 0.666666666666667 0.666666666666667 "Kd.mcd.subset.99" TRUE 1 "border_collie"
0.890683916893701 0.393126558401602 0.907348924145112 1.46704563788634 0.666666666666667 1 0.666666666666667 0.666666666666667 "Nd.mcd.subset.99" TRUE 1 "border_collie"
1.1e-05 1.3e-05 5e-06 5e-06 0.333333333333333 0.666666666666667 0 0 "win51_pi" FALSE 1 "border_collie"
0.290655 0.614333 -0.513647 -0.730917 0.666666666666667 0.666666666666667 0.333333333333333 0.333333333333333 "win51_TajD" FALSE 1 "border_collie"
1.6109 1.25681 1.54744 2.08005 0.333333333333333 0.333333333333333 0.333333333333333 0.333333333333333 "unstd_iHS" TRUE 2 "border_collie"
0.496 0.4296 0.5672 0.628 0.333333333333333 0.333333333333333 0.333333333333333 0.333333333333333 "win51_H12" TRUE 2 "border_collie"
1 1 1 1 0 0 0 0 "pcs.default" TRUE 2 "border_collie"
0.905991193945236 0.75377180237638 1.70474809223843 1.70474809223843 0.333333333333333 0.666666666666667 0 0 "Hcd.default" TRUE 2 "border_collie"
3.26226067190946 2.82397357255908 3.71767570019378 3.36085190019696 0.666666666666667 0.666666666666667 0.666666666666667 0.666666666666667 "Md.default" TRUE 2 "border_collie"
3.41911650477898 3.01801721263594 3.77071080115157 3.53792515073107 0.666666666666667 0.666666666666667 0.666666666666667 0.666666666666667 "Hd.default" TRUE 2 "border_collie"
14.9817920971779 13.5983405087592 30.175805454612 30.175805454612 0.666666666666667 1 0 0 "Kd.default" TRUE 2 "border_collie"
0.296771409858383 0.247174542019896 0.805006628627899 0.805006628627899 1 1 0 0 "Nd.default" TRUE 2 "border_collie"
3.7979945029316 3.16149215264891 3.41443778077531 4.52909051511513 0.666666666666667 0.666666666666667 0.666666666666667 0.666666666666667 "Md.mcd.subset.75" TRUE 2 "border_collie"
3.89531969089216 3.28566300332502 3.49942901864523 4.57963462552225 0.666666666666667 0.666666666666667 0.666666666666667 0.666666666666667 "Hd.mcd.subset.75" TRUE 2 "border_collie"
18.8301473440172 16.0133580180119 17.8999248845542 22.6265457289589 0.666666666666667 0.666666666666667 0.666666666666667 0.666666666666667 "Kd.mcd.subset.75" TRUE 2 "border_collie"
0.951570943524582 0.40236864640533 0.941479149898427 1.69704045320118 0.666666666666667 0.666666666666667 0.666666666666667 0.666666666666667 "Nd.mcd.subset.75" TRUE 2 "border_collie"
3.54418990680373 2.98945351273571 3.61305028163059 3.7586266187406 0.666666666666667 0.666666666666667 0.666666666666667 0.666666666666667 "Md.mcd.subset.99" TRUE 2 "border_collie"
3.72166668971554 3.17007333985485 3.62211182221789 4.01961441835815 0.666666666666667 0.666666666666667 0.666666666666667 0.666666666666667 "Hd.mcd.subset.99" TRUE 2 "border_collie"
19.3960741534989 16.119591632261 18.5014736151383 24.1163699136104 0.666666666666667 0.666666666666667 0.666666666666667 0.666666666666667 "Kd.mcd.subset.99" TRUE 2 "border_collie"
0.890683916893701 0.393126558401602 0.907348924145112 1.46704563788634 0.666666666666667 0.666666666666667 0.666666666666667 0.666666666666667 "Nd.mcd.subset.99" TRUE 2 "border_collie"
